etf_id,backtest_start,backtest_end,total_return,cagr,max_drawdown,sharpe_ratio
009803.TW,2025-03-03,2025-07-04,0.05141131299994628,0.16040578010073636,-0.24397588544494786,0.6230093352119912
00896.TW,2021-09-09,2025-07-04,0.3238367876142405,0.07621910578786362,-0.30505541856456964,0.5070551959587191
00930.TW,2023-07-14,2025-07-04,0.2642441647625078,0.12603279603625817,-0.28230182446181296,0.7947239197285908
00922.TW,2023-03-16,2025-07-04,0.6048157672971954,0.22788019596197762,-0.265744344549264,1.1523218305536784
0052.TW,2015-01-05,2025-07-04,5.593581384862332,0.1967443418743673,-0.37676151520470635,0.9219554516523383
00701.TW,2017-08-09,2025-07-04,1.0389469465404177,0.09428735317807702,-0.31097564676685774,0.7507704578770736
00980A.TW,2025-05-06,2025-07-04,0.1432866102973125,1.2896715238452945,-0.024141153001939863,5.38720952369335
00918.TW,2022-11-15,2025-07-04,0.8716508577954951,0.2684897743970869,-0.2368590819231342,1.5199617709701299
00713.TW,2017-09-19,2025-07-04,1.8205259946897487,0.1422869514312015,-0.2579950304057125,1.131837289320019
00735.TW,2018-05-29,2025-07-04,1.3302382931164796,0.12646211886527703,-0.3615772466001519,0.6935993144828285
00676R.TW,2016-09-23,2025-07-04,0.18900003433227286,0.019904206229443,-0.8046647232347229,0.24024636652476916
00675L.TW,2016-09-23,2025-07-04,7.747495696998378,0.28006656118092743,-0.5524444580078132,0.8895408199519269
00943.TW,2024-05-09,2025-07-04,-0.05980192872847068,-0.05205830314254145,-0.28940927754305035,-0.10834137979914121
00932.TW,2023-08-22,2025-07-04,0.046317889754855956,0.024527927813760675,-0.30305110491350706,0.2309514221161544
00904.TW,2022-02-23,2025-07-04,0.41204317685546,0.10809196047573488,-0.3784340367743805,0.5427042182252934
0050.TW,2015-01-05,2025-07-04,-0.12301880198714854,-0.01242244425556982,-0.7745496165777386,0.2219291199865057
00632R.TW,2015-01-05,2025-07-04,0.014506291706511742,0.0013723888028267517,-0.8708636013312032,0.2229531005609735
00631L.TW,2015-01-05,2025-07-04,10.464434483624808,0.261471858464023,-0.5514366807873161,0.8395981935259783
00894.TW,2021-08-05,2025-07-04,0.6600281121004472,0.1382106079118881,-0.4069449629222811,0.670193441772223
00912.TW,2022-06-22,2025-07-04,0.490246715297481,0.14044703450746376,-0.2664854807844115,0.7636384558065659
00900.TW,2021-12-14,2025-07-04,0.15400544158532892,0.0411012413941807,-0.3157146583867455,0.326076948032831
00664R.TW,2016-07-01,2025-07-04,-0.824060157582365,-0.17533225806572061,-0.8247213739480712,-1.019873921238306
00936.TW,2023-10-30,2025-07-04,0.02073949585817525,0.012297655402296215,-0.3832180175343972,0.1671894426969238
006208.TW,2015-01-05,2025-07-04,3.1318170689931852,0.14464930464114634,-0.3381319428919991,0.8567555861100238
00731.TW,2018-04-12,2025-07-04,1.1156775946661903,0.1091642344267838,-0.2680703439177232,0.8373144657498922
00947.TW,2024-06-12,2025-07-04,-0.10203049678918008,-0.0965199828021136,-0.3745387656522645,-0.17366697430812955
006204.TW,2015-01-05,2025-07-04,2.478548958761683,0.12604306365288998,-0.2872727505212057,0.8253319042227032
006201.TWO,2015-01-05,2025-07-04,1.1690717144834886,0.07651952001383311,-0.4271356203977533,0.45401554138905253
00892.TW,2021-06-02,2025-07-04,0.33286152789705614,0.07277025356029432,-0.4917079500005185,0.41588428775622444
00961.TW,2024-10-07,2025-07-04,-0.0739999771118155,-0.0987131907210137,-0.22200200337765108,-0.3839000061688306
0056.TW,2015-01-05,2025-07-04,1.834655572313142,0.10430654150575247,-0.2689337917687201,0.8016052602070535
00938.TW,2024-10-14,2025-07-04,-0.028112391861851993,-0.038801372530818834,-0.22489958173017865,-0.06978339102528208
00733.TW,2018-05-04,2025-07-04,1.6525261759506886,0.14568804119275613,-0.45323112429832124,0.6874174436362166
00982A.TW,2025-05-14,2025-07-04,0.08712862648808661,0.8182669689831856,-0.017756970445810705,4.591344762229182
00934.TW,2023-10-25,2025-07-04,0.26663943664925616,0.14981612072698014,-0.28569270337624,0.8210475084248869
00915.TW,2022-08-01,2025-07-04,0.8762525038550935,0.23993840395937216,-0.25063493816254445,1.4784602703966951
0053.TW,2015-01-05,2025-07-04,3.8527116509258645,0.16231363777948782,-0.3425796312835263,0.8690397269994813
00907.TW,2022-05-17,2025-07-04,0.22056873351206674,0.0656588535511049,-0.20271949278864665,0.5105703238532023
00919.TW,2022-10-13,2025-07-04,0.8481957551423294,0.2527149773178221,-0.23388358475930837,1.4160331071471248
00952.TW,2024-08-26,2025-07-04,-0.02055209298031413,-0.024001102689042764,-0.323122503608686,0.05007928104136097
00923.TW,2023-02-24,2025-07-04,0.6081410416683,0.22311163382230803,-0.2730782685546448,1.1376330812479085
00663L.TW,2016-07-01,2025-07-04,0.430638661003248,0.040530568282484136,-0.9067707239500092,0.5096764993311741
00940.TW,2024-04-01,2025-07-04,-0.022352044938823368,-0.017815553485679314,-0.262950499160022,0.017176578382346493
00728.TW,2018-04-10,2025-07-04,1.2842900346525803,0.12088880102028177,-0.39767168180984314,0.698675790472746
006203.TW,2015-01-05,2025-07-04,2.8569150847856015,0.13716924400378305,-0.33436930223999706,0.8067982193581076
00690.TW,2017-03-27,2025-07-04,1.762661195331653,0.13063287748612584,-0.31457798679017523,0.8321000800354564
009802.TW,2025-03-06,2025-07-04,-0.019172510929242992,-0.057182619358026265,-0.22645289135336533,-0.016030463749970407
00692.TW,2017-05-04,2025-07-04,2.2601661791446186,0.15558004841851925,-0.3086956842102516,0.9614979002211684
