Ex-Dividend Date,Dividend Per Unit
2017-07-27 00:00:00+08:00,0.021
2017-11-30 00:00:00+08:00,1.12
2018-07-26 00:00:00+08:00,0.083
2018-11-29 00:00:00+08:00,0.743
2019-07-18 00:00:00+08:00,0.256
2019-11-20 00:00:00+08:00,0.53
2020-07-21 00:00:00+08:00,0.231
2020-11-17 00:00:00+08:00,0.608
2021-07-16 00:00:00+08:00,0.172
2021-11-16 00:00:00+08:00,1.798
2022-07-18 00:00:00+08:00,1.483
2022-11-16 00:00:00+08:00,0.55
2023-07-18 00:00:00+08:00,0.732
2023-11-16 00:00:00+08:00,1.062
2024-07-16 00:00:00+08:00,0.415
2024-11-18 00:00:00+08:00,0.6
